txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_a_read_0	read	a	gmem	0	255	0	256	255	1	0	256			a
txn_a_read_1	read	a	gmem	256	511	1024	256	255	1	1	257			a
txn_a_read_2	read	a	gmem	512	767	2048	256	255	1	2	258			a
txn_a_read_3	read	a	gmem	768	1023	3072	256	255	1	3	259			a
txn_a_read_4	read	a	gmem	1024	1279	4096	256	255	1	4	260			a
txn_a_read_5	read	a	gmem	1280	1535	5120	256	255	1	5	261			a
txn_a_read_6	read	a	gmem	1536	1791	6144	256	255	1	6	262			a
txn_a_read_7	read	a	gmem	1792	2047	7168	256	255	1	7	263			a
txn_a_write_0	write	a	gmem	0	255	0	256	255	1	513	769	txn_a_read_0	txn_a_read_0:llvm_def_use:ssa_value	a
txn_a_write_1	write	a	gmem	256	511	1024	256	255	1	770	1026	txn_a_read_1	txn_a_read_1:llvm_def_use:ssa_value	a
txn_a_write_2	write	a	gmem	512	767	2048	256	255	1	1027	1283	txn_a_read_2	txn_a_read_2:llvm_def_use:ssa_value	a
txn_a_write_3	write	a	gmem	768	1023	3072	256	255	1	1284	1540	txn_a_read_3	txn_a_read_3:llvm_def_use:ssa_value	a
txn_a_write_4	write	a	gmem	1024	1279	4096	256	255	1	1541	1797	txn_a_read_4	txn_a_read_4:llvm_def_use:ssa_value	a
txn_a_write_5	write	a	gmem	1280	1535	5120	256	255	1	1798	2054	txn_a_read_5	txn_a_read_5:llvm_def_use:ssa_value	a
txn_a_write_6	write	a	gmem	1536	1791	6144	256	255	1	2055	2311	txn_a_read_6	txn_a_read_6:llvm_def_use:ssa_value	a
txn_a_write_7	write	a	gmem	1792	2047	7168	256	255	1	2312	2568	txn_a_read_7	txn_a_read_7:llvm_def_use:ssa_value	a
