element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:0	0	read	a	gmem_a	0	0	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_0	
la:1	1	read	a	gmem_a	1	4	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_0	
la:2	2	read	a	gmem_a	2	8	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_0	
la:3	3	read	a	gmem_a	3	12	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_0	
la:4	4	read	a	gmem_a	16	64	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_1	
la:5	5	read	a	gmem_a	17	68	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_1	
la:6	6	read	a	gmem_a	18	72	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_1	
la:7	7	read	a	gmem_a	19	76	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_1	
la:8	8	read	a	gmem_a	32	128	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_2	
la:9	9	read	a	gmem_a	33	132	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_2	
la:10	10	read	a	gmem_a	34	136	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_2	
la:11	11	read	a	gmem_a	35	140	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_2	
la:12	12	read	a	gmem_a	48	192	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_3	
la:13	13	read	a	gmem_a	49	196	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_3	
la:14	14	read	a	gmem_a	50	200	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_3	
la:15	15	read	a	gmem_a	51	204	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_3	
la:16	16	read	a	gmem_a	64	256	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_4	
la:17	17	read	a	gmem_a	65	260	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_4	
la:18	18	read	a	gmem_a	66	264	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_4	
la:19	19	read	a	gmem_a	67	268	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_4	
la:20	20	read	a	gmem_a	80	320	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_5	
la:21	21	read	a	gmem_a	81	324	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_5	
la:22	22	read	a	gmem_a	82	328	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_5	
la:23	23	read	a	gmem_a	83	332	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_5	
la:24	24	read	a	gmem_a	96	384	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_6	
la:25	25	read	a	gmem_a	97	388	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_6	
la:26	26	read	a	gmem_a	98	392	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_6	
la:27	27	read	a	gmem_a	99	396	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_6	
la:28	28	read	a	gmem_a	112	448	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_7	
la:29	29	read	a	gmem_a	113	452	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_7	
la:30	30	read	a	gmem_a	114	456	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_7	
la:31	31	read	a	gmem_a	115	460	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_7	
la:32	32	read	a	gmem_a	128	512	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_8	
la:33	33	read	a	gmem_a	129	516	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_8	
la:34	34	read	a	gmem_a	130	520	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_8	
la:35	35	read	a	gmem_a	131	524	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_8	
la:36	36	read	a	gmem_a	144	576	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_9	
la:37	37	read	a	gmem_a	145	580	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_9	
la:38	38	read	a	gmem_a	146	584	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_9	
la:39	39	read	a	gmem_a	147	588	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_9	
la:40	40	read	a	gmem_a	160	640	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_10	
la:41	41	read	a	gmem_a	161	644	  %16 = load i32, i32* %arrayidx21, align 4	txn_a_10	
