element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:0	0	read	a	gmem_a	0	0	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:1	1	read	b	gmem_b	0	0	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:2	2	read	a	gmem_a	1	4	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:3	3	read	b	gmem_b	16	64	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:4	4	read	a	gmem_a	2	8	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:5	5	read	b	gmem_b	32	128	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:6	6	read	a	gmem_a	3	12	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:7	7	read	b	gmem_b	48	192	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:8	8	read	a	gmem_a	4	16	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:9	9	read	b	gmem_b	64	256	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:10	10	read	a	gmem_a	5	20	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:11	11	read	b	gmem_b	80	320	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:12	12	read	a	gmem_a	6	24	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:13	13	read	b	gmem_b	96	384	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:14	14	read	a	gmem_a	7	28	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:15	15	read	b	gmem_b	112	448	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:16	16	read	a	gmem_a	8	32	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:17	17	read	b	gmem_b	128	512	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_0	
la:18	18	read	a	gmem_a	9	36	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
