txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_a_read_0	read	a	gmem_a	0	15	0	1	0	16	0	1			a
txn_b_read_0	read	b	gmem_b	0	240	0	16	15	16	0	16			b
txn_c_write_0	write	c	gmem_c	0	0	0	1	0	1	21	22	txn_a_read_0,txn_b_read_0	txn_a_read_0:llvm_def_use:ssa_value,txn_b_read_0:llvm_def_use:ssa_value	c
txn_a_read_1	read	a	gmem_a	0	15	0	1	0	16	22	23			a
txn_b_read_1	read	b	gmem_b	1	241	0	16	15	16	22	38			b
txn_c_write_1	write	c	gmem_c	1	1	4	1	0	1	43	44	txn_a_read_1,txn_b_read_1	txn_a_read_1:llvm_def_use:ssa_value,txn_b_read_1:llvm_def_use:ssa_value	c
txn_a_read_2	read	a	gmem_a	0	15	0	1	0	16	44	45			a
txn_b_read_2	read	b	gmem_b	2	242	0	16	15	16	44	60			b
txn_c_write_2	write	c	gmem_c	2	2	8	1	0	1	65	66	txn_a_read_2,txn_b_read_2	txn_a_read_2:llvm_def_use:ssa_value,txn_b_read_2:llvm_def_use:ssa_value	c
txn_a_read_3	read	a	gmem_a	0	15	0	1	0	16	66	67			a
txn_b_read_3	read	b	gmem_b	3	243	0	16	15	16	66	82			b
txn_c_write_3	write	c	gmem_c	3	3	12	1	0	1	87	88	txn_a_read_3,txn_b_read_3	txn_a_read_3:llvm_def_use:ssa_value,txn_b_read_3:llvm_def_use:ssa_value	c
txn_a_read_4	read	a	gmem_a	0	15	0	1	0	16	88	89			a
txn_b_read_4	read	b	gmem_b	4	244	0	16	15	16	88	104			b
txn_c_write_4	write	c	gmem_c	4	4	16	1	0	1	109	110	txn_a_read_4,txn_b_read_4	txn_a_read_4:llvm_def_use:ssa_value,txn_b_read_4:llvm_def_use:ssa_value	c
txn_a_read_5	read	a	gmem_a	0	15	0	1	0	16	110	111			a
txn_b_read_5	read	b	gmem_b	5	245	0	16	15	16	110	126			b
txn_c_write_5	write	c	gmem_c	5	5	20	1	0	1	131	132	txn_a_read_5,txn_b_read_5	txn_a_read_5:llvm_def_use:ssa_value,txn_b_read_5:llvm_def_use:ssa_value	c
txn_a_read_6	read	a	gmem_a	0	15	0	1	0	16	132	133			a
txn_b_read_6	read	b	gmem_b	6	246	0	16	15	16	132	148			b
txn_c_write_6	write	c	gmem_c	6	6	24	1	0	1	153	154	txn_a_read_6,txn_b_read_6	txn_a_read_6:llvm_def_use:ssa_value,txn_b_read_6:llvm_def_use:ssa_value	c
txn_a_read_7	read	a	gmem_a	0	15	0	1	0	16	154	155			a
txn_b_read_7	read	b	gmem_b	7	247	0	16	15	16	154	170			b
txn_c_write_7	write	c	gmem_c	7	7	28	1	0	1	175	176	txn_a_read_7,txn_b_read_7	txn_a_read_7:llvm_def_use:ssa_value,txn_b_read_7:llvm_def_use:ssa_value	c
txn_a_read_8	read	a	gmem_a	0	15	0	1	0	16	176	177			a
txn_b_read_8	read	b	gmem_b	8	248	0	16	15	16	176	192			b
txn_c_write_8	write	c	gmem_c	8	8	32	1	0	1	197	198	txn_a_read_8,txn_b_read_8	txn_a_read_8:llvm_def_use:ssa_value,txn_b_read_8:llvm_def_use:ssa_value	c
txn_a_read_9	read	a	gmem_a	0	15	0	1	0	16	198	199			a
txn_b_read_9	read	b	gmem_b	9	249	0	16	15	16	198	214			b
txn_c_write_9	write	c	gmem_c	9	9	36	1	0	1	219	220	txn_a_read_9,txn_b_read_9	txn_a_read_9:llvm_def_use:ssa_value,txn_b_read_9:llvm_def_use:ssa_value	c
txn_a_read_10	read	a	gmem_a	0	15	0	1	0	16	220	221			a
txn_b_read_10	read	b	gmem_b	10	250	0	16	15	16	220	236			b
txn_c_write_10	write	c	gmem_c	10	10	40	1	0	1	241	242	txn_a_read_10,txn_b_read_10	txn_a_read_10:llvm_def_use:ssa_value,txn_b_read_10:llvm_def_use:ssa_value	c
txn_a_read_11	read	a	gmem_a	0	15	0	1	0	16	242	243			a
txn_b_read_11	read	b	gmem_b	11	251	0	16	15	16	242	258			b
txn_c_write_11	write	c	gmem_c	11	11	44	1	0	1	263	264	txn_a_read_11,txn_b_read_11	txn_a_read_11:llvm_def_use:ssa_value,txn_b_read_11:llvm_def_use:ssa_value	c
txn_a_read_12	read	a	gmem_a	0	15	0	1	0	16	264	265			a
txn_b_read_12	read	b	gmem_b	12	252	0	16	15	16	264	280			b
txn_c_write_12	write	c	gmem_c	12	12	48	1	0	1	285	286	txn_a_read_12,txn_b_read_12	txn_a_read_12:llvm_def_use:ssa_value,txn_b_read_12:llvm_def_use:ssa_value	c
txn_a_read_13	read	a	gmem_a	0	15	0	1	0	16	286	287			a
txn_b_read_13	read	b	gmem_b	13	253	0	16	15	16	286	302			b
txn_c_write_13	write	c	gmem_c	13	13	52	1	0	1	307	308	txn_a_read_13,txn_b_read_13	txn_a_read_13:llvm_def_use:ssa_value,txn_b_read_13:llvm_def_use:ssa_value	c
txn_a_read_14	read	a	gmem_a	0	15	0	1	0	16	308	309			a
txn_b_read_14	read	b	gmem_b	14	254	0	16	15	16	308	324			b
txn_c_write_14	write	c	gmem_c	14	14	56	1	0	1	329	330	txn_a_read_14,txn_b_read_14	txn_a_read_14:llvm_def_use:ssa_value,txn_b_read_14:llvm_def_use:ssa_value	c
txn_a_read_15	read	a	gmem_a	0	15	0	1	0	16	330	331			a
txn_b_read_15	read	b	gmem_b	15	255	0	16	15	16	330	346			b
txn_c_write_15	write	c	gmem_c	15	15	60	1	0	1	351	352	txn_a_read_15,txn_b_read_15	txn_a_read_15:llvm_def_use:ssa_value,txn_b_read_15:llvm_def_use:ssa_value	c
txn_a_read_16	read	a	gmem_a	16	31	64	1	0	16	352	353			a
txn_b_read_16	read	b	gmem_b	0	240	0	16	15	16	352	368			b
txn_c_write_16	write	c	gmem_c	16	16	64	1	0	1	373	374	txn_a_read_16,txn_b_read_16	txn_a_read_16:llvm_def_use:ssa_value,txn_b_read_16:llvm_def_use:ssa_value	c
txn_a_read_17	read	a	gmem_a	16	31	64	1	0	16	374	375			a
txn_b_read_17	read	b	gmem_b	1	241	0	16	15	16	374	390			b
txn_c_write_17	write	c	gmem_c	17	17	68	1	0	1	395	396	txn_a_read_17,txn_b_read_17	txn_a_read_17:llvm_def_use:ssa_value,txn_b_read_17:llvm_def_use:ssa_value	c
txn_a_read_18	read	a	gmem_a	16	31	64	1	0	16	396	397			a
