element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:0	0	read	a	gmem	0	0	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:1	1	write	b	gmem	0	0	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:0
la:2	2	read	a	gmem	1	4	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:3	3	write	b	gmem	1	4	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:2
la:4	4	read	a	gmem	2	8	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:5	5	write	b	gmem	2	8	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:4
la:6	6	read	a	gmem	3	12	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:7	7	write	b	gmem	3	12	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:6
la:8	8	read	a	gmem	4	16	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:9	9	write	b	gmem	4	16	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:8
la:10	10	read	a	gmem	5	20	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:11	11	write	b	gmem	5	20	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:10
la:12	12	read	a	gmem	6	24	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:13	13	write	b	gmem	6	24	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:12
la:14	14	read	a	gmem	7	28	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:15	15	write	b	gmem	7	28	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:14
la:16	16	read	a	gmem	8	32	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:17	17	write	b	gmem	8	32	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:16
la:18	18	read	a	gmem	9	36	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:19	19	write	b	gmem	9	36	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:18
la:20	20	read	a	gmem	10	40	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:21	21	write	b	gmem	10	40	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:20
la:22	22	read	a	gmem	11	44	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:23	23	write	b	gmem	11	44	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:22
la:24	24	read	a	gmem	12	48	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:25	25	write	b	gmem	12	48	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:24
la:26	26	read	a	gmem	13	52	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:27	27	write	b	gmem	13	52	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:26
la:28	28	read	a	gmem	14	56	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:29	29	write	b	gmem	14	56	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:28
la:30	30	read	a	gmem	15	60	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_0	
la:31	31	write	b	gmem	15	60	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_0	la:30
la:32	32	read	a	gmem	16	64	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:33	33	write	b	gmem	16	64	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:32
la:34	34	read	a	gmem	17	68	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:35	35	write	b	gmem	17	68	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:34
la:36	36	read	a	gmem	18	72	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:37	37	write	b	gmem	18	72	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:36
la:38	38	read	a	gmem	19	76	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:39	39	write	b	gmem	19	76	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:38
la:40	40	read	a	gmem	20	80	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:41	41	write	b	gmem	20	80	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:40
la:42	42	read	a	gmem	21	84	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:43	43	write	b	gmem	21	84	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:42
la:44	44	read	a	gmem	22	88	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:45	45	write	b	gmem	22	88	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:44
la:46	46	read	a	gmem	23	92	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:47	47	write	b	gmem	23	92	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:46
la:48	48	read	a	gmem	24	96	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:49	49	write	b	gmem	24	96	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:48
la:50	50	read	a	gmem	25	100	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:51	51	write	b	gmem	25	100	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:50
la:52	52	read	a	gmem	26	104	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:53	53	write	b	gmem	26	104	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:52
la:54	54	read	a	gmem	27	108	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:55	55	write	b	gmem	27	108	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:54
la:56	56	read	a	gmem	28	112	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:57	57	write	b	gmem	28	112	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:56
la:58	58	read	a	gmem	29	116	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:59	59	write	b	gmem	29	116	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:58
la:60	60	read	a	gmem	30	120	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:61	61	write	b	gmem	30	120	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:60
la:62	62	read	a	gmem	31	124	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_1	
la:63	63	write	b	gmem	31	124	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_1	la:62
la:64	64	read	a	gmem	32	128	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_2	
la:65	65	write	b	gmem	32	128	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_2	la:64
la:66	66	read	a	gmem	33	132	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_2	
la:67	67	write	b	gmem	33	132	  store i32 %12, i32* %arrayidx5, align 4	txn_b_write_2	la:66
la:68	68	read	a	gmem	34	136	  %6 = load i32, i32* %arrayidx, align 4	txn_a_read_2	
