element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:0	0	read	in	gmem_in	0	0	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:1	1	read	in	gmem_in	1	4	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:2	2	read	in	gmem_in	2	8	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:3	3	read	in	gmem_in	3	12	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:4	4	read	in	gmem_in	4	16	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:5	5	read	in	gmem_in	5	20	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:6	6	read	in	gmem_in	6	24	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:7	7	read	in	gmem_in	7	28	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:8	8	read	in	gmem_in	8	32	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:9	9	read	in	gmem_in	9	36	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:10	10	read	in	gmem_in	10	40	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:11	11	read	in	gmem_in	11	44	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:12	12	read	in	gmem_in	12	48	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:13	13	read	in	gmem_in	13	52	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:14	14	read	in	gmem_in	14	56	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:15	15	read	in	gmem_in	15	60	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:16	16	read	in	gmem_in	16	64	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:17	17	read	in	gmem_in	17	68	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:18	18	read	in	gmem_in	18	72	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:19	19	read	in	gmem_in	19	76	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:20	20	read	in	gmem_in	20	80	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:21	21	read	in	gmem_in	21	84	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:22	22	read	in	gmem_in	22	88	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:23	23	read	in	gmem_in	23	92	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:24	24	read	in	gmem_in	24	96	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:25	25	read	in	gmem_in	25	100	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:26	26	read	in	gmem_in	26	104	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:27	27	read	in	gmem_in	27	108	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:28	28	read	in	gmem_in	28	112	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:29	29	read	in	gmem_in	29	116	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:30	30	read	in	gmem_in	30	120	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:31	31	read	in	gmem_in	31	124	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:32	32	read	in	gmem_in	32	128	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:33	33	read	in	gmem_in	33	132	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:34	34	read	in	gmem_in	34	136	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:35	35	read	in	gmem_in	35	140	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:36	36	read	in	gmem_in	36	144	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:37	37	read	in	gmem_in	37	148	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:38	38	read	in	gmem_in	38	152	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:39	39	read	in	gmem_in	39	156	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:40	40	read	in	gmem_in	40	160	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:41	41	read	in	gmem_in	41	164	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:42	42	read	in	gmem_in	42	168	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:43	43	read	in	gmem_in	43	172	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:44	44	read	in	gmem_in	44	176	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:45	45	read	in	gmem_in	45	180	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:46	46	read	in	gmem_in	46	184	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:47	47	read	in	gmem_in	47	188	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:48	48	read	in	gmem_in	48	192	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:49	49	read	in	gmem_in	49	196	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:50	50	read	in	gmem_in	50	200	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:51	51	read	in	gmem_in	51	204	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:52	52	read	in	gmem_in	52	208	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:53	53	read	in	gmem_in	53	212	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:54	54	read	in	gmem_in	54	216	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:55	55	read	in	gmem_in	55	220	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:56	56	read	in	gmem_in	56	224	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:57	57	read	in	gmem_in	57	228	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:58	58	read	in	gmem_in	58	232	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:59	59	read	in	gmem_in	59	236	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:60	60	read	in	gmem_in	60	240	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:61	61	read	in	gmem_in	61	244	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:62	62	read	in	gmem_in	62	248	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:63	63	read	in	gmem_in	63	252	  %6 = load i32, i32* %arrayidx, align 4	txn_in_0	
la:64	64	write	out	gmem_out	0	0	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:65	65	write	out	gmem_out	1	4	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:66	66	write	out	gmem_out	2	8	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:67	67	write	out	gmem_out	3	12	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:68	68	write	out	gmem_out	4	16	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:69	69	write	out	gmem_out	5	20	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:70	70	write	out	gmem_out	6	24	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:71	71	write	out	gmem_out	7	28	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
la:72	72	write	out	gmem_out	8	32	  store i32 %cond, i32* %arrayidx94, align 4	txn_out_0	la:63
