element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:0	0	read	in	gmem_in	0	0	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:1	1	write	scratch_a	gmem_scratch_a	0	0	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:0
la:2	2	read	in	gmem_in	1	4	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:3	3	write	scratch_a	gmem_scratch_a	1	4	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:2
la:4	4	read	in	gmem_in	2	8	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:5	5	write	scratch_a	gmem_scratch_a	2	8	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:4
la:6	6	read	in	gmem_in	3	12	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:7	7	write	scratch_a	gmem_scratch_a	3	12	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:6
la:8	8	read	in	gmem_in	4	16	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:9	9	write	scratch_a	gmem_scratch_a	4	16	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:8
la:10	10	read	in	gmem_in	5	20	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:11	11	write	scratch_a	gmem_scratch_a	5	20	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:10
la:12	12	read	in	gmem_in	6	24	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:13	13	write	scratch_a	gmem_scratch_a	6	24	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:12
la:14	14	read	in	gmem_in	7	28	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:15	15	write	scratch_a	gmem_scratch_a	7	28	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:14
la:16	16	read	in	gmem_in	8	32	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:17	17	write	scratch_a	gmem_scratch_a	8	32	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:16
la:18	18	read	in	gmem_in	9	36	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:19	19	write	scratch_a	gmem_scratch_a	9	36	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:18
la:20	20	read	in	gmem_in	10	40	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:21	21	write	scratch_a	gmem_scratch_a	10	40	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:20
la:22	22	read	in	gmem_in	11	44	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:23	23	write	scratch_a	gmem_scratch_a	11	44	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:22
la:24	24	read	in	gmem_in	12	48	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:25	25	write	scratch_a	gmem_scratch_a	12	48	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:24
la:26	26	read	in	gmem_in	13	52	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:27	27	write	scratch_a	gmem_scratch_a	13	52	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:26
la:28	28	read	in	gmem_in	14	56	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:29	29	write	scratch_a	gmem_scratch_a	14	56	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:28
la:30	30	read	in	gmem_in	15	60	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:31	31	write	scratch_a	gmem_scratch_a	15	60	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_0	la:30
la:32	32	read	in	gmem_in	16	64	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:33	33	write	scratch_a	gmem_scratch_a	16	64	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:32
la:34	34	read	in	gmem_in	17	68	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:35	35	write	scratch_a	gmem_scratch_a	17	68	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:34
la:36	36	read	in	gmem_in	18	72	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:37	37	write	scratch_a	gmem_scratch_a	18	72	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:36
la:38	38	read	in	gmem_in	19	76	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:39	39	write	scratch_a	gmem_scratch_a	19	76	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:38
la:40	40	read	in	gmem_in	20	80	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:41	41	write	scratch_a	gmem_scratch_a	20	80	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:40
la:42	42	read	in	gmem_in	21	84	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:43	43	write	scratch_a	gmem_scratch_a	21	84	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:42
la:44	44	read	in	gmem_in	22	88	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:45	45	write	scratch_a	gmem_scratch_a	22	88	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:44
la:46	46	read	in	gmem_in	23	92	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:47	47	write	scratch_a	gmem_scratch_a	23	92	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:46
la:48	48	read	in	gmem_in	24	96	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:49	49	write	scratch_a	gmem_scratch_a	24	96	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:48
la:50	50	read	in	gmem_in	25	100	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:51	51	write	scratch_a	gmem_scratch_a	25	100	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:50
la:52	52	read	in	gmem_in	26	104	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:53	53	write	scratch_a	gmem_scratch_a	26	104	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:52
la:54	54	read	in	gmem_in	27	108	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:55	55	write	scratch_a	gmem_scratch_a	27	108	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:54
la:56	56	read	in	gmem_in	28	112	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:57	57	write	scratch_a	gmem_scratch_a	28	112	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:56
la:58	58	read	in	gmem_in	29	116	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:59	59	write	scratch_a	gmem_scratch_a	29	116	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:58
la:60	60	read	in	gmem_in	30	120	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:61	61	write	scratch_a	gmem_scratch_a	30	120	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:60
la:62	62	read	in	gmem_in	31	124	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_0	
la:63	63	write	scratch_a	gmem_scratch_a	31	124	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_1	la:62
la:64	64	read	in	gmem_in	32	128	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:65	65	write	scratch_a	gmem_scratch_a	32	128	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:64
la:66	66	read	in	gmem_in	33	132	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:67	67	write	scratch_a	gmem_scratch_a	33	132	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:66
la:68	68	read	in	gmem_in	34	136	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:69	69	write	scratch_a	gmem_scratch_a	34	136	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:68
la:70	70	read	in	gmem_in	35	140	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:71	71	write	scratch_a	gmem_scratch_a	35	140	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:70
la:72	72	read	in	gmem_in	36	144	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:73	73	write	scratch_a	gmem_scratch_a	36	144	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:72
la:74	74	read	in	gmem_in	37	148	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:75	75	write	scratch_a	gmem_scratch_a	37	148	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:74
la:76	76	read	in	gmem_in	38	152	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:77	77	write	scratch_a	gmem_scratch_a	38	152	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:76
la:78	78	read	in	gmem_in	39	156	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:79	79	write	scratch_a	gmem_scratch_a	39	156	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:78
la:80	80	read	in	gmem_in	40	160	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:81	81	write	scratch_a	gmem_scratch_a	40	160	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:80
la:82	82	read	in	gmem_in	41	164	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:83	83	write	scratch_a	gmem_scratch_a	41	164	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:82
la:84	84	read	in	gmem_in	42	168	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:85	85	write	scratch_a	gmem_scratch_a	42	168	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:84
la:86	86	read	in	gmem_in	43	172	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:87	87	write	scratch_a	gmem_scratch_a	43	172	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:86
la:88	88	read	in	gmem_in	44	176	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:89	89	write	scratch_a	gmem_scratch_a	44	176	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:88
la:90	90	read	in	gmem_in	45	180	  %6 = load i32, i32* %arrayidx, align 4	txn_in_read_1	
la:91	91	write	scratch_a	gmem_scratch_a	45	180	  store i32 %6, i32* %arrayidx2, align 4	txn_scratch_a_write_2	la:90
