txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_in_read_0	read	in	gmem_in	0	31	0	16	15	2	0	16			in
txn_in_read_1	read	in	gmem_in	32	63	128	16	15	2	1	17			in
txn_scratch_a_write_0	write	scratch_a	gmem_scratch_a	0	15	0	16	15	1	33	49	txn_in_read_0	txn_in_read_0:llvm_def_use:ssa_value	scratch_a
txn_scratch_a_read_0	read	scratch_a	gmem_scratch_a	0	1	0	2	1	1	50	52	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_write_1	write	scratch_a	gmem_scratch_a	16	31	64	16	15	1	50	66	txn_in_read_0	txn_in_read_0:llvm_def_use:ssa_value	scratch_a
txn_scratch_a_read_1	read	scratch_a	gmem_scratch_a	0	0	0	1	0	1	51	52	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_2	read	scratch_a	gmem_scratch_a	2	3	8	2	1	1	52	54	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_3	read	scratch_a	gmem_scratch_a	2	2	8	1	0	1	53	54	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_4	read	scratch_a	gmem_scratch_a	4	5	16	2	1	1	54	56	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_5	read	scratch_a	gmem_scratch_a	5	7	20	3	2	1	55	58	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_6	read	scratch_a	gmem_scratch_a	7	9	28	3	2	1	56	59	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_7	read	scratch_a	gmem_scratch_a	9	11	36	3	2	1	57	60	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_8	read	scratch_a	gmem_scratch_a	10	10	40	1	0	1	58	59	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_9	read	scratch_a	gmem_scratch_a	12	13	48	2	1	1	59	61	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_10	read	scratch_a	gmem_scratch_a	12	12	48	1	0	1	60	61	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_11	read	scratch_a	gmem_scratch_a	14	15	56	2	1	1	61	63	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_12	read	scratch_a	gmem_scratch_a	14	14	56	1	0	1	62	63	txn_scratch_a_write_0	txn_scratch_a_write_0:dynamic_memory_raw	scratch_a
txn_scratch_a_read_13	read	scratch_a	gmem_scratch_a	16	17	64	2	1	1	67	69	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_write_2	write	scratch_a	gmem_scratch_a	32	47	128	16	15	1	67	83	txn_in_read_1	txn_in_read_1:llvm_def_use:ssa_value	scratch_a
txn_scratch_a_read_14	read	scratch_a	gmem_scratch_a	16	16	64	1	0	1	68	69	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_15	read	scratch_a	gmem_scratch_a	18	19	72	2	1	1	69	71	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_16	read	scratch_a	gmem_scratch_a	19	21	76	3	2	1	70	73	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_17	read	scratch_a	gmem_scratch_a	21	23	84	3	2	1	71	74	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_18	read	scratch_a	gmem_scratch_a	22	22	88	1	0	1	72	73	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_19	read	scratch_a	gmem_scratch_a	24	25	96	2	1	1	73	75	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_20	read	scratch_a	gmem_scratch_a	25	27	100	3	2	1	74	77	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_21	read	scratch_a	gmem_scratch_a	26	26	104	1	0	1	75	76	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_22	read	scratch_a	gmem_scratch_a	28	29	112	2	1	1	76	78	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_23	read	scratch_a	gmem_scratch_a	28	28	112	1	0	1	77	78	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_24	read	scratch_a	gmem_scratch_a	30	31	120	2	1	1	78	80	txn_scratch_a_write_1	txn_scratch_a_write_1:dynamic_memory_raw	scratch_a
txn_scratch_a_read_25	read	scratch_a	gmem_scratch_a	31	33	124	3	2	1	84	87	txn_scratch_a_write_1,txn_scratch_a_write_2	txn_scratch_a_write_1:dynamic_memory_raw,txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_write_3	write	scratch_a	gmem_scratch_a	48	63	192	16	15	1	84	100	txn_in_read_1	txn_in_read_1:llvm_def_use:ssa_value	scratch_a
txn_scratch_a_read_26	read	scratch_a	gmem_scratch_a	32	32	128	1	0	1	85	86	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_27	read	scratch_a	gmem_scratch_a	34	35	136	2	1	1	86	88	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_28	read	scratch_a	gmem_scratch_a	34	34	136	1	0	1	87	88	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_29	read	scratch_a	gmem_scratch_a	36	37	144	2	1	1	88	90	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_30	read	scratch_a	gmem_scratch_a	37	39	148	3	2	1	89	92	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_31	read	scratch_a	gmem_scratch_a	38	38	152	1	0	1	90	91	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_32	read	scratch_a	gmem_scratch_a	40	41	160	2	1	1	91	93	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_33	read	scratch_a	gmem_scratch_a	41	43	164	3	2	1	92	95	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_34	read	scratch_a	gmem_scratch_a	42	42	168	1	0	1	93	94	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_35	read	scratch_a	gmem_scratch_a	44	45	176	2	1	1	94	96	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_36	read	scratch_a	gmem_scratch_a	44	44	176	1	0	1	95	96	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_37	read	scratch_a	gmem_scratch_a	46	47	184	2	1	1	96	98	txn_scratch_a_write_2	txn_scratch_a_write_2:dynamic_memory_raw	scratch_a
txn_scratch_a_read_38	read	scratch_a	gmem_scratch_a	47	49	188	3	2	1	101	104	txn_scratch_a_write_2,txn_scratch_a_write_3	txn_scratch_a_write_2:dynamic_memory_raw,txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_39	read	scratch_a	gmem_scratch_a	49	51	196	3	2	1	102	105	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_40	read	scratch_a	gmem_scratch_a	50	50	200	1	0	1	103	104	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_41	read	scratch_a	gmem_scratch_a	52	53	208	2	1	1	104	106	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_42	read	scratch_a	gmem_scratch_a	53	55	212	3	2	1	105	108	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_43	read	scratch_a	gmem_scratch_a	55	57	220	3	2	1	106	109	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_44	read	scratch_a	gmem_scratch_a	57	59	228	3	2	1	107	110	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_45	read	scratch_a	gmem_scratch_a	58	58	232	1	0	1	108	109	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_46	read	scratch_a	gmem_scratch_a	60	61	240	2	1	1	109	111	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_47	read	scratch_a	gmem_scratch_a	61	63	244	3	2	1	110	113	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_a_read_48	read	scratch_a	gmem_scratch_a	63	63	252	1	0	1	111	112	txn_scratch_a_write_3	txn_scratch_a_write_3:dynamic_memory_raw	scratch_a
txn_scratch_b_write_0	write	scratch_b	gmem_scratch_b	0	15	0	16	15	1	272	288	txn_scratch_a_read_0,txn_scratch_a_read_1,txn_scratch_a_read_2,txn_scratch_a_read_3,txn_scratch_a_read_4,txn_scratch_a_read_5,txn_scratch_a_read_6,txn_scratch_a_read_7,txn_scratch_a_read_8,txn_scratch_a_read_9,txn_scratch_a_read_10,txn_scratch_a_read_11,txn_scratch_a_read_12	txn_scratch_a_read_0:llvm_def_use:ssa_value,txn_scratch_a_read_0:control_dependency:branch_condition,txn_scratch_a_read_0:control_dependency:branch_condition,txn_scratch_a_read_1:llvm_def_use:ssa_value,txn_scratch_a_read_1:control_dependency:branch_condition,txn_scratch_a_read_0:control_dependency:branch_condition,txn_scratch_a_read_2:llvm_def_use:ssa_value,txn_scratch_a_read_2:control_dependency:branch_condition,txn_scratch_a_read_2:control_dependency:branch_condition,txn_scratch_a_read_3:llvm_def_use:ssa_value,txn_scratch_a_read_3:control_dependency:branch_condition,txn_scratch_a_read_2:control_dependency:branch_condition,txn_scratch_a_read_4:llvm_def_use:ssa_value,txn_scratch_a_read_4:control_dependency:branch_condition,txn_scratch_a_read_4:control_dependency:branch_condition,txn_scratch_a_read_5:llvm_def_use:ssa_value,txn_scratch_a_read_4:control_dependency:branch_condition,txn_scratch_a_read_5:control_dependency:branch_condition,txn_scratch_a_read_5:llvm_def_use:ssa_value,txn_scratch_a_read_5:control_dependency:branch_condition,txn_scratch_a_read_5:control_dependency:branch_condition,txn_scratch_a_read_6:llvm_def_use:ssa_value,txn_scratch_a_read_5:control_dependency:branch_condition,txn_scratch_a_read_6:control_dependency:branch_condition,txn_scratch_a_read_6:llvm_def_use:ssa_value,txn_scratch_a_read_6:control_dependency:branch_condition,txn_scratch_a_read_6:control_dependency:branch_condition,txn_scratch_a_read_7:llvm_def_use:ssa_value,txn_scratch_a_read_6:control_dependency:branch_condition,txn_scratch_a_read_7:control_dependency:branch_condition,txn_scratch_a_read_7:control_dependency:branch_condition,txn_scratch_a_read_8:llvm_def_use:ssa_value,txn_scratch_a_read_8:control_dependency:branch_condition,txn_scratch_a_read_7:control_dependency:branch_condition,txn_scratch_a_read_9:llvm_def_use:ssa_value,txn_scratch_a_read_9:control_dependency:branch_condition,txn_scratch_a_read_9:control_dependency:branch_condition,txn_scratch_a_read_10:llvm_def_use:ssa_value,txn_scratch_a_read_10:control_dependency:branch_condition,txn_scratch_a_read_9:control_dependency:branch_condition,txn_scratch_a_read_11:llvm_def_use:ssa_value,txn_scratch_a_read_11:control_dependency:branch_condition,txn_scratch_a_read_11:control_dependency:branch_condition,txn_scratch_a_read_12:llvm_def_use:ssa_value,txn_scratch_a_read_12:control_dependency:branch_condition,txn_scratch_a_read_11:control_dependency:branch_condition	scratch_b
